,timestamp,id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,timeseries
0,2021-03-21,1MZ0A5PA6,1,21,7,2,4,11,20,17,2,29,19,17,19,18,12,8,18,20,24,28,31,6,4,8,5,31,27,17,18,25,7,11,20,26,18,6,5,23,16,15,12,28,14,16,28,24,8,11,12,16,0,22,1,13,22,13,3,15,12,19,22,16,24,11,4,23,6,32,40,17,18,4,31,23,11,9,23,8,20,1,4,24,36,15,17,11,22,41,31,15,38,16,21,50,42,10,24,16,34,11,18,15,12,20,26,12,33,15,20,20,11,8,"[1, 21, 7, 2, 4, 11, 20, 17, 2, 29, 19, 17, 19, 18, 12, 8, 18, 20, 24, 28, 31, 6, 4, 8, 5, 31, 27, 17, 18, 25, 7, 11, 20, 26, 18, 6, 5, 23, 16, 15, 12, 28, 14, 16, 28, 24, 8, 11, 12, 16, 0, 22, 1, 13, 22, 13, 3, 15, 12, 19, 22, 16, 24, 11, 4, 23, 6, 32, 40, 17, 18, 4, 31, 23, 11, 9, 23, 8, 20, 1, 4, 24, 36, 15, 17, 11, 22, 41, 31, 15, 38, 16, 21, 50, 42, 10, 24, 16, 34, 11, 18, 15, 12, 20, 26, 12, 33, 15, 20, 20, 11, 8]"
1,2021-03-20,E7EEQIEOV,5,10,16,15,25,21,6,23,23,9,10,14,9,7,14,3,8,3,11,14,2,8,25,7,10,8,10,24,9,13,10,6,2,4,11,11,4,11,4,8,1,5,3,10,13,5,5,6,7,11,19,6,6,0,1,2,0,4,0,10,6,2,1,0,12,4,9,9,6,5,2,3,0,3,0,0,6,6,10,0,12,8,4,0,2,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[5, 10, 16, 15, 25, 21, 6, 23, 23, 9, 10, 14, 9, 7, 14, 3, 8, 3, 11, 14, 2, 8, 25, 7, 10, 8, 10, 24, 9, 13, 10, 6, 2, 4, 11, 11, 4, 11, 4, 8, 1, 5, 3, 10, 13, 5, 5, 6, 7, 11, 19, 6, 6, 0, 1, 2, 0, 4, 0, 10, 6, 2, 1, 0, 12, 4, 9, 9, 6, 5, 2, 3, 0, 3, 0, 0, 6, 6, 10, 0, 12, 8, 4, 0, 2, 7, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,2021-03-21,IHNGBZ4G4,9,26,12,16,26,36,32,9,24,10,8,15,5,8,9,35,11,16,5,6,8,13,22,17,18,43,27,1,7,21,5,16,6,4,9,2,11,7,7,15,11,4,8,14,4,19,14,21,16,8,37,29,22,38,62,9,8,39,19,19,12,18,17,6,12,20,20,11,30,12,7,23,10,23,7,6,8,14,9,24,13,27,16,3,30,9,26,34,13,18,12,12,12,15,14,23,4,12,35,5,2,6,13,35,13,26,18,12,5,16,22,19,"[9, 26, 12, 16, 26, 36, 32, 9, 24, 10, 8, 15, 5, 8, 9, 35, 11, 16, 5, 6, 8, 13, 22, 17, 18, 43, 27, 1, 7, 21, 5, 16, 6, 4, 9, 2, 11, 7, 7, 15, 11, 4, 8, 14, 4, 19, 14, 21, 16, 8, 37, 29, 22, 38, 62, 9, 8, 39, 19, 19, 12, 18, 17, 6, 12, 20, 20, 11, 30, 12, 7, 23, 10, 23, 7, 6, 8, 14, 9, 24, 13, 27, 16, 3, 30, 9, 26, 34, 13, 18, 12, 12, 12, 15, 14, 23, 4, 12, 35, 5, 2, 6, 13, 35, 13, 26, 18, 12, 5, 16, 22, 19]"
3,2021-03-20,R8CI0EGMO,2,28,35,18,9,19,16,17,35,42,25,30,52,18,21,21,15,32,19,23,32,6,42,31,38,51,20,38,75,64,32,21,29,23,13,12,29,31,24,33,24,31,18,32,36,24,29,36,10,28,63,88,33,46,11,11,41,27,43,40,44,36,38,57,29,28,30,43,15,35,14,29,47,30,54,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[2, 28, 35, 18, 9, 19, 16, 17, 35, 42, 25, 30, 52, 18, 21, 21, 15, 32, 19, 23, 32, 6, 42, 31, 38, 51, 20, 38, 75, 64, 32, 21, 29, 23, 13, 12, 29, 31, 24, 33, 24, 31, 18, 32, 36, 24, 29, 36, 10, 28, 63, 88, 33, 46, 11, 11, 41, 27, 43, 40, 44, 36, 38, 57, 29, 28, 30, 43, 15, 35, 14, 29, 47, 30, 54, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,2021-03-20,FWJ1GB40T,0,2,1,1,1,0,0,0,0,8,4,8,1,1,3,1,5,2,0,1,0,0,3,2,0,2,0,4,1,0,3,3,0,2,0,0,0,0,1,9,1,1,2,1,3,5,0,1,2,0,0,2,1,2,2,2,0,2,3,0,3,1,1,5,3,7,1,3,0,1,0,8,0,1,1,2,4,47,2,5,2,6,0,2,0,4,1,2,1,1,0,0,3,0,0,3,0,0,0,3,0,1,2,9,0,0,1,4,0,4,2,0,"[0, 2, 1, 1, 1, 0, 0, 0, 0, 8, 4, 8, 1, 1, 3, 1, 5, 2, 0, 1, 0, 0, 3, 2, 0, 2, 0, 4, 1, 0, 3, 3, 0, 2, 0, 0, 0, 0, 1, 9, 1, 1, 2, 1, 3, 5, 0, 1, 2, 0, 0, 2, 1, 2, 2, 2, 0, 2, 3, 0, 3, 1, 1, 5, 3, 7, 1, 3, 0, 1, 0, 8, 0, 1, 1, 2, 4, 47, 2, 5, 2, 6, 0, 2, 0, 4, 1, 2, 1, 1, 0, 0, 3, 0, 0, 3, 0, 0, 0, 3, 0, 1, 2, 9, 0, 0, 1, 4, 0, 4, 2, 0]"
5,2021-03-20,9RFJU57JW,0,15,15,19,13,19,49,49,35,4,16,14,12,10,12,22,33,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 15, 15, 19, 13, 19, 49, 49, 35, 4, 16, 14, 12, 10, 12, 22, 33, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,2021-03-20,N0LLHMD2F,4,9,22,38,28,4,4,4,31,4,1,69,1,6,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,1,2,49,5,2,33,1,9,8,25,16,3,2,15,7,39,24,11,15,6,2,3,0,0,0,0,0,5,135,3,113,5,1,4,1,3,2,5,2,2,3,6,"[4, 9, 22, 38, 28, 4, 4, 4, 31, 4, 1, 69, 1, 6, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 4, 1, 2, 49, 5, 2, 33, 1, 9, 8, 25, 16, 3, 2, 15, 7, 39, 24, 11, 15, 6, 2, 3, 0, 0, 0, 0, 0, 5, 135, 3, 113, 5, 1, 4, 1, 3, 2, 5, 2, 2, 3, 6]"
7,2021-03-20,VP6XEW1BC,1,4,1,0,0,1,0,6,2,1,1,4,2,2,1,0,1,2,3,4,3,1,0,2,0,2,3,1,0,0,4,2,2,0,0,3,0,1,4,4,2,0,0,5,0,1,3,2,2,1,6,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,3,0,"[1, 4, 1, 0, 0, 1, 0, 6, 2, 1, 1, 4, 2, 2, 1, 0, 1, 2, 3, 4, 3, 1, 0, 2, 0, 2, 3, 1, 0, 0, 4, 2, 2, 0, 0, 3, 0, 1, 4, 4, 2, 0, 0, 5, 0, 1, 3, 2, 2, 1, 6, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 3, 0]"
8,2021-03-20,4MZ7HDQ5Y,4,8,24,30,14,12,13,4,18,29,29,6,17,23,11,7,21,26,17,19,10,18,13,26,24,44,6,21,18,15,13,17,8,25,11,70,15,58,45,17,8,22,30,24,48,25,8,14,10,7,11,8,6,15,4,9,10,2,20,8,5,10,23,3,10,3,10,10,6,15,2,8,10,24,30,25,7,4,5,3,30,35,9,5,2,1,25,8,5,12,10,10,4,14,15,5,12,12,8,21,26,7,7,30,19,39,1,0,0,0,0,0,"[4, 8, 24, 30, 14, 12, 13, 4, 18, 29, 29, 6, 17, 23, 11, 7, 21, 26, 17, 19, 10, 18, 13, 26, 24, 44, 6, 21, 18, 15, 13, 17, 8, 25, 11, 70, 15, 58, 45, 17, 8, 22, 30, 24, 48, 25, 8, 14, 10, 7, 11, 8, 6, 15, 4, 9, 10, 2, 20, 8, 5, 10, 23, 3, 10, 3, 10, 10, 6, 15, 2, 8, 10, 24, 30, 25, 7, 4, 5, 3, 30, 35, 9, 5, 2, 1, 25, 8, 5, 12, 10, 10, 4, 14, 15, 5, 12, 12, 8, 21, 26, 7, 7, 30, 19, 39, 1, 0, 0, 0, 0, 0]"
9,2021-03-20,CN0MZ8SVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
